m,p,t,a,c
0.0464926709932099,0.406518293939906,0.113043535290185,1.56078116467464,1
0.0340317890606961,0.459190565177281,0.143856157037119,0.520890605195002,1
0.0466140136982243,0.362364644236101,0.10676023195119,2.57638402251483,1
0.0421177479396066,0.37089185207697,0.127317651502494,1.54369670861916,1
0.0335606464799906,0.339074326568671,0.125039550811596,1.78533230490671,1
0.0364559715018728,0.470372715255187,0.11458778071119,2.54915047022775,1
0.0407501043072797,0.423288299995604,0.102824983645944,0.715243556527722,1
0.0473201093669488,0.396714115991822,0.0972064793140898,2.97040154280275,1
0.0474382165631884,0.422290713766417,0.116213388180732,4.23844336522536,1
0.0345218093068408,0.407154577684282,0.104836813892521,1.4614402360857,1
0.0475294845081699,0.4235698368469,0.130837212838534,4.71042049160404,1
0.0473146711718871,0.407021749439942,0.11377740895273,0.444537461165561,1
0.0397660103795655,0.43536745929277,0.136394884198474,2.36330056189018,1
0.0448044875022208,0.403599248924336,0.131243025177279,0.0203647377858445,1
0.0342701814180354,0.478992739859336,0.12340924189557,1.32406135159814,1
0.0387481805220204,0.354988261183941,0.104489042766015,0.00780341220357683,1
0.0466517684030251,0.336927723720037,0.141954433084595,1.13507802596841,1
0.0446753172729529,0.337551594323711,0.10873545773726,0.854904328925829,1
0.0473518788222864,0.330174619356017,0.140379882971501,1.60845599474026,1
0.0424918511865054,0.38473279933722,0.106740979425458,1.0493523920147,1
0.032571386857187,0.391739665930639,0.113931062766847,0.831893829555572,1
0.0455860688939004,0.378530588294107,0.100200016779676,3.59331366220719,1
0.0469438919641208,0.44216074253581,0.126725594315842,5.40634743409635,1
0.0428597624777244,0.420463420738267,0.104669610612149,5.63627859530543,1
0.0441238420892533,0.443516861688679,0.0981624531587316,1.32710673563447,1
0.0438901194899987,0.469256571244611,0.130712327000789,2.89602825237848,1
0.0382756323125467,0.475638536640482,0.112677006987926,2.25606669554853,1
0.0424876462428409,0.350724535908444,0.127709607576139,3.14268022179522,1
0.034738987004985,0.342219872452665,0.114425692851455,1.58923556129154,1
0.0432967374083137,0.431402613933279,0.126112632117286,0.410143322824975,1
0.0325093255420387,0.335011204283979,0.0970391911022547,2.61796246488062,1
0.0364307677593742,0.404064704617494,0.139707359449105,1.04311822419001,1
0.0327387422500985,0.404855074942858,0.134426815501383,0.156642648929429,1
0.0335541084997736,0.457782369822933,0.131800679248451,5.7280696444827,1
0.0451753252532367,0.397576533368336,0.135029415053317,2.5835791191565,1
0.0431172579676131,0.382953017794443,0.114398703294025,5.76935143862198,1
0.0370735916809738,0.427428982347844,0.12562940315119,4.57448690401796,1
0.0472035527814137,0.438601270952673,0.123623753265735,0.0440919666170816,1
0.0325511372880465,0.403208394782462,0.121442481828721,4.08023184276083,1
0.0390199097545024,0.375634027404404,0.109203348279453,4.2357045254933,1
0.0381049353134881,0.343999560613069,0.107934190063775,3.87077271964429,1
0.044248268610384,0.413774730757034,0.117678660981695,3.31385906704638,1
0.044723198418193,0.361943250836449,0.106930215649274,1.30865237869968,1
0.0349899616728701,0.327112654764518,0.134613580013427,4.63419728167826,1
0.0398362303326117,0.440789322756989,0.143333003611007,1.3681699416027,1
0.0391293792113744,0.358845657251354,0.0974396136129307,2.22518831384043,1
0.0423410081617802,0.390784370080311,0.121711881152027,5.34557292615417,1
0.0433498372937292,0.430047373619217,0.100179706555243,5.13826144636956,1
0.0440749869117178,0.377476513664298,0.134500389146679,2.41460129888066,1
0.0364164012319773,0.437814411888192,0.143478955665616,1.90811470498041,1
0.0428752428296588,0.383153196044602,0.099213420403092,3.65181258380994,1
0.0424815680635814,0.429346538714877,0.141091121370458,5.46117136016689,1
0.0346017877631141,0.432647588853483,0.0968725216145614,5.45458912680529,1
0.033903962904934,0.390768866141339,0.128824253459825,3.54956645344463,1
0.0399738248317143,0.323132419768531,0.133619351043994,1.99542844401331,1
0.0473559033362573,0.372937260834251,0.121638603258371,5.11838177525951,1
0.0374461716266581,0.387889519493302,0.138497253644695,2.65438735824699,1
0.0413642840156764,0.36324326774913,0.139152235147495,5.42613286930766,1
0.0355809910318582,0.351528607695273,0.126045006051864,0.199076435712765,1
0.0440202729488904,0.45147538959381,0.102617711635803,3.1945588950008,1
0.0360815218473483,0.388787425501323,0.106454476498182,4.29898407902629,1
0.0400953128266423,0.462043352681017,0.104742771642741,1.07581106293074,1
0.043185227562507,0.382589279273786,0.0980073534707018,2.01919755480638,1
0.0462544520405728,0.443058301982127,0.10113319961041,1.1262776914516,1
0.0473486628032871,0.383486642722179,0.125589287284113,1.93156309909754,1
0.0407554484794208,0.449362255341975,0.141103728487731,2.42314026738124,1
0.0342179910852589,0.440812335841133,0.113013875086432,3.29139779914178,1
0.0343887040889449,0.380383287173616,0.115710196322857,0.2924315566936,1
0.0361201320659798,0.354563026553823,0.143248772015254,3.31639279907366,1
0.0454514760957386,0.446465154874706,0.141387801073693,1.648868429025,1
0.0360685148635445,0.471888625895968,0.12847894456481,1.44901045040467,1
0.0450285572171011,0.372410469452033,0.143438508591038,1.4588710764393,1
0.0358963994995998,0.427402299272278,0.132807906586397,0.924956695020446,1
0.0468682179709956,0.390183197213913,0.112161564690791,5.73849816604814,1
0.0375997402557569,0.453360095294236,0.127794329299175,5.6139682530996,1
0.0351455240068993,0.443016680388738,0.107719933765933,4.91228662324946,1
0.0360173417276165,0.346760567279155,0.110184348039917,4.369571086937,1
0.0418567148183462,0.457916876592332,0.128648561819064,1.05487036965318,1
0.0395726215824437,0.478379544581041,0.121336647860102,2.16222586225472,1
0.037626552113008,0.402307753040913,0.115756488643562,1.13273983584963,1
0.0452932580463407,0.461484963700313,0.124926634465747,0.00719038104026049,1
0.0413642254584436,0.41408416884936,0.132024962684339,1.89851708239526,1
0.0407955777326582,0.344760375784967,0.124009592364574,4.19770191838233,1
0.046675098621277,0.351978051657192,0.122486040716926,3.75153108107424,1
0.036573424301126,0.385112773942225,0.12401138970037,3.25837305206311,1
0.0441152036657715,0.439792914914511,0.120567356158007,2.63422322032601,1
0.0440596655084559,0.452093410525785,0.0999644508959376,1.72456360489526,1
0.0380871335516057,0.446394084791125,0.130539366473256,3.00995464048014,1
0.0410851462516035,0.370963879263839,0.14381549334225,4.56927711401788,1
0.033213668633009,0.405450260379316,0.113017646637932,4.57444829273228,1
0.0328632018986657,0.334392108603293,0.142620423128803,3.45633540897934,1
0.0404927608481436,0.337872919070913,0.112629540542417,4.4859770258503,1
0.0444666756816322,0.341806807830128,0.138554105364495,3.87320703588793,1
